module	caller	line	callee
app/app.py	get_or_create_app_secret	64	os.path.dirname
app/app.py	get_or_create_app_secret	68	(os.environ.get('BW_ADMIN_SECRET_KEY') or '').strip
app/app.py	get_or_create_app_secret	69	dbapi.connect
app/app.py	get_or_create_app_secret	66	os.makedirs
app/app.py	get_or_create_app_secret	71	conn.execute
app/app.py	get_or_create_app_secret	72	conn.execute
app/app.py	get_or_create_app_secret	79	conn.execute("SELECT value FROM admin_settings WHERE key='app_secret_key'").fetchone
app/app.py	get_or_create_app_secret	84	conn.execute
app/app.py	get_or_create_app_secret	88	conn.commit
app/app.py	get_or_create_app_secret	91	conn.close
app/app.py	get_or_create_app_secret	83	secrets.token_urlsafe
app/app.py	get_or_create_app_secret	68	os.environ.get
app/app.py	get_or_create_app_secret	79	conn.execute
app/app.py	get_or_create_app_secret	87	int
app/app.py	get_or_create_app_secret	87	time.time
app/app.py	table_columns	206	set
app/app.py	table_columns	204	conn.execute(f'PRAGMA table_info({table})').fetchall
app/app.py	table_columns	204	conn.execute
app/app.py	ensure_column	212	table_columns
app/app.py	ensure_column	213	conn.execute
app/app.py	normalize_mac_address	218	str(value or '').strip().lower
app/app.py	normalize_mac_address	219	''.join
app/app.py	normalize_mac_address	222	':'.join
app/app.py	normalize_mac_address	220	len
app/app.py	normalize_mac_address	218	str(value or '').strip
app/app.py	normalize_mac_address	222	range
app/app.py	normalize_mac_address	218	str
app/app.py	read_agent_json_request	227	request.get_data
app/app.py	read_agent_json_request	230	str(request.headers.get('Content-Encoding') or '').strip().lower
app/app.py	read_agent_json_request	241	len
app/app.py	read_agent_json_request	242	ValueError
app/app.py	read_agent_json_request	244	json.loads
app/app.py	read_agent_json_request	247	isinstance
app/app.py	read_agent_json_request	248	ValueError
app/app.py	read_agent_json_request	230	str(request.headers.get('Content-Encoding') or '').strip
app/app.py	read_agent_json_request	240	ValueError
app/app.py	read_agent_json_request	244	decoded.decode
app/app.py	read_agent_json_request	246	ValueError
app/app.py	read_agent_json_request	230	str
app/app.py	read_agent_json_request	235	gzip.GzipFile
app/app.py	read_agent_json_request	236	stream.read
app/app.py	read_agent_json_request	238	ValueError
app/app.py	read_agent_json_request	230	request.headers.get
app/app.py	read_agent_json_request	235	io.BytesIO
app/app.py	db	253	os.path.dirname
app/app.py	db	256	dbapi.connect
app/app.py	db	257	conn.execute
app/app.py	db	258	conn.execute
app/app.py	db	259	conn.execute
app/app.py	db	263	conn.execute
app/app.py	db	285	conn.execute
app/app.py	db	320	conn.execute
app/app.py	db	331	conn.execute
